Date,OAT,kW
1/1/2016 0:15,33.60000229,263.7
1/1/2016 0:30,33.10000229,279.3
1/1/2016 0:45,33.5,265.2
1/1/2016 1:00,33.5,285
1/1/2016 1:15,33.85000229,275.1
1/1/2016 1:30,34,279
1/1/2016 1:45,35.90000153,279.3
1/1/2016 2:00,36.70000076,267.3
1/1/2016 2:15,36.79999924,262.5
1/1/2016 2:30,36.75,261
1/1/2016 2:45,37.29999924,257.4
1/1/2016 3:00,35.55000114,255.9
1/1/2016 3:15,35,258
1/1/2016 3:30,34.39999962,262.2
1/1/2016 3:45,34.90000153,258.9
1/1/2016 4:00,35.70000076,254.7
1/1/2016 4:15,35.5,286.8
1/1/2016 4:30,35.95000076,293.1
1/1/2016 4:45,36.40000153,296.4
1/1/2016 5:00,35.95000076,292.8
1/1/2016 5:15,36.90000153,338.7
1/1/2016 5:30,38.60000229,355.2
1/1/2016 5:45,38.40000153,355.5
1/1/2016 6:00,36.85000038,351.9
1/1/2016 6:15,35.60000229,359.1
1/1/2016 6:30,35.64999962,360
1/1/2016 6:45,35.90000153,360.6
1/1/2016 7:00,35.95000076,354.6
1/1/2016 7:15,36.60000229,356.4
1/1/2016 7:30,37.10000038,360.6
1/1/2016 7:45,38.40000153,358.8
1/1/2016 8:00,39.10000038,351.6
1/1/2016 8:15,39.70000076,346.5
1/1/2016 8:30,42.10000038,348.9
1/1/2016 8:45,42.90000153,351
1/1/2016 9:00,42.35000038,346.5
1/1/2016 9:15,42.20000076,343.8
1/1/2016 9:30,41.70000076,346.2
1/1/2016 9:45,43.40000153,343.2
1/1/2016 10:00,45.35000038,343.5
1/1/2016 10:15,47.10000229,339.3
1/1/2016 10:30,47.00000191,338.1
1/1/2016 10:45,46.70000076,342.9
1/1/2016 11:00,48.45000076,348
1/1/2016 11:15,48.5,342.6
1/1/2016 11:30,49.35000038,344.4
1/1/2016 11:45,48.5,339.6
1/1/2016 12:00,49.20000076,341.1
1/1/2016 12:15,49.29999924,339.6
1/1/2016 12:30,51.85000038,351.6
1/1/2016 12:45,51,343.8
1/1/2016 13:00,51.70000076,351
1/1/2016 13:15,53.70000076,346.2
1/1/2016 13:30,54.35000038,348
1/1/2016 13:45,54.60000229,342
1/1/2016 14:00,55.70000076,355.2
1/1/2016 14:15,57,360.3
1/1/2016 14:30,58.25,354.9
1/1/2016 14:45,55.70000076,349.5
1/1/2016 15:00,52.75,349.5
1/1/2016 15:15,52.70000076,349.5
1/1/2016 15:30,51.05000114,344.4
1/1/2016 15:45,49.29999924,347.4
1/1/2016 16:00,48.29999924,344.4
1/1/2016 16:15,47.29999924,347.7
1/1/2016 16:30,46.85000229,347.4
1/1/2016 16:45,46,355.2
1/1/2016 17:00,45.55000114,358.2
1/1/2016 17:15,45.20000076,342.9
1/1/2016 17:30,45.05000114,329.1
1/1/2016 17:45,44.60000229,333
1/1/2016 18:00,44.30000114,341.1
1/1/2016 18:15,44.20000076,342
1/1/2016 18:30,43.75000191,344.4
1/1/2016 18:45,43.90000153,348.9
1/1/2016 19:00,43.25,343.8
1/1/2016 19:15,43.20000076,342
1/1/2016 19:30,43.35000038,347.4
1/1/2016 19:45,43.10000229,346.8
1/1/2016 20:00,42.45000076,345.3
1/1/2016 20:15,42.29999924,289.2
1/1/2016 20:30,42.15000153,280.5
1/1/2016 20:45,42.20000076,278.4
1/1/2016 21:00,41.80000114,284.4
1/1/2016 21:15,41.79999924,263.7
1/1/2016 21:30,41.30000114,259.8
1/1/2016 21:45,41.40000153,264
1/1/2016 22:00,41.10000229,262.2
1/1/2016 22:15,41.40000153,256.2
1/1/2016 22:30,42.30000114,263.4
1/1/2016 22:45,42.5,261.6
1/1/2016 23:00,42.60000229,264.9
1/1/2016 23:15,42.20000076,261.3
1/1/2016 23:30,41.60000038,255.9
1/1/2016 23:45,41.5,252.6
1/2/2016 0:00,42.25000191,251.1
1/2/2016 0:15,42.20000076,258
1/2/2016 0:30,41.80000114,259.2
1/2/2016 0:45,41.79999924,259.2
1/2/2016 1:00,41.10000229,257.4
1/2/2016 1:15,40.40000153,260.7
1/2/2016 1:30,40.29999924,261.3
1/2/2016 1:45,40.29999924,257.4
1/2/2016 2:00,40.25,251.7
1/2/2016 2:15,40.10000229,250.2
1/2/2016 2:30,40.40000153,247.8
1/2/2016 2:45,40.90000153,251.7
1/2/2016 3:00,40.95000076,252.9
1/2/2016 3:15,40.60000229,255.3
1/2/2016 3:30,41.35000038,252
1/2/2016 3:45,41.79999924,254.4
1/2/2016 4:00,41.89999962,255.3
1/2/2016 4:15,42.10000229,257.7
1/2/2016 4:30,41.75000191,254.4
1/2/2016 4:45,41.10000229,260.7
1/2/2016 5:00,41.55000114,260.4
1/2/2016 5:15,41.10000229,259.2
1/2/2016 5:30,41.25,257.7
1/2/2016 5:45,41.29999924,259.5
1/2/2016 6:00,41.50000191,258
1/2/2016 6:15,41,264.6
1/2/2016 6:30,41.20000076,268.5
1/2/2016 6:45,41.40000153,259.2
1/2/2016 7:00,41.54999924,252.6
1/2/2016 7:15,41.70000076,258.9
1/2/2016 7:30,41.64999962,264.6
1/2/2016 7:45,41.5,273.9
1/2/2016 8:00,41.75,260.7
1/2/2016 8:15,42,260.7
1/2/2016 8:30,42.80000114,259.8
1/2/2016 8:45,43,261
1/2/2016 9:00,43.85000038,258
1/2/2016 9:15,44.40000153,261
1/2/2016 9:30,44.75,261.6
1/2/2016 9:45,45.5,252.9
1/2/2016 10:00,46.75000191,254.4
1/2/2016 10:15,46.5,251.4
1/2/2016 10:30,47.95000076,260.1
1/2/2016 10:45,48.60000229,269.7
1/2/2016 11:00,48.75000191,264.9
1/2/2016 11:15,48.90000153,270.6
1/2/2016 11:30,51.50000191,272.4
1/2/2016 11:45,53.10000229,277.5
1/2/2016 12:00,51.95000076,267.6
1/2/2016 12:15,52.60000229,268.2
1/2/2016 12:30,51.45000076,261.3
1/2/2016 12:45,51.90000153,267
1/2/2016 13:00,53.5,269.1
1/2/2016 13:15,53.60000229,264.6
1/2/2016 13:30,53.85000038,260.7
1/2/2016 13:45,54.20000076,267.6
1/2/2016 14:00,57.75000191,270
1/2/2016 14:15,56.79999924,262.5
1/2/2016 14:30,53.80000114,272.1
1/2/2016 14:45,54,277.2
1/2/2016 15:00,53.15000153,276
1/2/2016 15:15,52.10000229,276.3
1/2/2016 15:30,51.70000076,269.1
1/2/2016 15:45,52.29999924,267
1/2/2016 16:00,52.45000076,273
1/2/2016 16:15,51.40000153,265.2
1/2/2016 16:30,50.95000076,264
1/2/2016 16:45,50,270
1/2/2016 17:00,49.35000038,273
1/2/2016 17:15,49.10000229,273.3
1/2/2016 17:30,49,276.6
1/2/2016 17:45,48.70000076,269.4
1/2/2016 18:00,48.40000153,272.7
1/2/2016 18:15,47.79999924,274.5
1/2/2016 18:30,47.20000076,272.1
1/2/2016 18:45,46.90000153,276.9
1/2/2016 19:00,47.55000114,278.1
1/2/2016 19:15,47.40000153,265.5
1/2/2016 19:30,46.80000114,263.7
1/2/2016 19:45,46.60000229,264.3
1/2/2016 20:00,46.35000038,268.8
1/2/2016 20:15,46,278.1
1/2/2016 20:30,46.20000076,274.8
1/2/2016 20:45,46.29999924,266.4
1/2/2016 21:00,46.05000114,264.3
1/2/2016 21:15,45.79999924,267
1/2/2016 21:30,45.80000114,258.6
1/2/2016 21:45,46.20000076,265.8
1/2/2016 22:00,45.60000229,266.4
1/2/2016 22:15,45.79999924,263.4
1/2/2016 22:30,45.95000076,264.9
1/2/2016 22:45,46,263.1
1/2/2016 23:00,45.89999962,263.1
1/2/2016 23:15,45.79999924,261.6
1/2/2016 23:30,45.79999924,259.5
1/2/2016 23:45,46,259.5
1/3/2016 0:00,45.5,264.9
1/3/2016 0:15,45.5,263.4
1/3/2016 0:30,45.50000191,265.2
1/3/2016 0:45,45.29999924,258.9
1/3/2016 1:00,45.29999924,250.8
1/3/2016 1:15,45.40000153,253.5
1/3/2016 1:30,45.54999924,251.7
1/3/2016 1:45,45.40000153,252.6
1/3/2016 2:00,45.5,256.8
1/3/2016 2:15,45.20000076,260.4
